     59700.2617188     20.308      0.030      0.000
     59877.0625000     19.179      0.030      0.000
     59878.0468750     19.940      0.030      0.000
     60087.2070312     20.448      0.030      0.000
     60087.2109375     20.396      0.030      0.000
     60113.1250000     20.327      0.030      0.000
     60145.0585938     19.736      0.030      0.000
     60199.0976562     19.634      0.030      0.000
     60436.2539062     20.351      0.030      0.000
     60465.2851562     20.412      0.030      0.000
     60466.2304688     20.253      0.030      0.000
     60524.0507812     20.317      0.030      0.000
     60525.0234375     20.354      0.030      0.000
     60584.0429688     20.003      0.030      0.000
     60763.3476562     20.338      0.030      0.000
     60764.3437500     20.337      0.030      0.000
     60790.2734375     20.230      0.030      0.000
     60849.1875000     20.383      0.030      0.000
     60878.0390625     20.136      0.030      0.000
     60878.0468750     20.133      0.030      0.000
     61118.3828125     20.313      0.030      0.000
     61118.3828125     20.341      0.030      0.000
     61121.3632812     20.267      0.030      0.000
     61146.3085938     19.681      0.030      0.000
     61174.2617188     19.865      0.030      0.000
     61234.0585938     19.485      0.030      0.000
     61234.0625000     19.546      0.030      0.000
     61499.3476562     19.044      0.030      0.000
     61499.3515625     18.968      0.030      0.000
     61528.2812500     20.340      0.030      0.000
     61529.2500000     20.408      0.030      0.000
     61529.2539062     20.324      0.030      0.000
     61529.2578125     20.293      0.030      0.000
     61618.0156250     20.373      0.030      0.000
     61618.0234375     20.377      0.030      0.000
     61882.3046875     20.172      0.030      0.000
     61883.3046875     20.178      0.030      0.000
     61888.2812500     19.967      0.030      0.000
     61943.1328125     20.344      0.030      0.000
     61943.1367188     20.343      0.030      0.000
     62209.3906250     20.244      0.030      0.000
     62267.3164062     19.722      0.030      0.000
     62268.2265625     20.322      0.030      0.000
     62326.1289062     19.563      0.030      0.000
     62326.1445312     19.677      0.030      0.000
     62327.1132812     19.497      0.030      0.000
     62354.9921875     20.315      0.030      0.000
     62356.9921875     20.277      0.030      0.000
     62356.9960938     20.367      0.030      0.000
     62594.3359375     20.362      0.030      0.000
     62594.3359375     20.390      0.030      0.000
     62710.0312500     20.330      0.030      0.000
     62710.0351562     20.317      0.030      0.000
     62710.0429688     20.337      0.030      0.000
     62711.0312500     20.258      0.030      0.000
     62799.0507812     19.316      0.030      0.000
     62946.3789062     20.357      0.030      0.000
     62947.3789062     20.417      0.030      0.000
     62974.3085938     19.935      0.030      0.000
     63005.2187500     19.524      0.030      0.000
     63005.2226562     19.355      0.030      0.000
     63093.0039062     19.492      0.030      0.000
     59753.1992188     17.469      0.030      1.000
     59753.2148438     17.606      0.030      1.000
     59823.0117188     18.003      0.030      1.000
     59823.0351562     18.148      0.030      1.000
     60026.3593750     18.566      0.030      1.000
     60026.3750000     18.608      0.030      1.000
     60057.2734375     18.012      0.030      1.000
     60057.2812500     18.002      0.030      1.000
     60087.2031250     18.643      0.030      1.000
     60087.2265625     18.298      0.030      1.000
     60177.0039062     18.582      0.030      1.000
     60177.0156250     18.282      0.030      1.000
     60434.2812500     18.591      0.030      1.000
     60434.2929688     18.561      0.030      1.000
     60491.1367188     17.794      0.030      1.000
     60491.1523438     17.891      0.030      1.000
     60492.1093750     17.563      0.030      1.000
     60492.1289062     17.764      0.030      1.000
     60588.0820312     18.340      0.030      1.000
     60588.1015625     18.428      0.030      1.000
     60792.3046875     18.568      0.030      1.000
     60792.3164062     18.506      0.030      1.000
